,video_id,video_title,video_channel,publish_date,views,like_count,dislike_count,comments
471,3SgVUlEcOBU,Present Value 3 | Interest and debt | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2008-09-06,328872,659,11,33
470,a1lVOO9Y080,Credit default swaps | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2008-09-28,853036,5543,161,298
469,VP3nKDUw1jA,Banking 8: Reserve Ratios,Khan Academy,2008-10-27,157642,280,14,39
468,IniG1KkPS2c,Banking 14: Fed Funds Rate,Khan Academy,2008-11-09,152482,603,44,80
467,rgqFXkLAc-4,Banking 15: More on the Fed Funds Rate,Khan Academy,2008-11-09,84583,250,9,31
466,NFDMXwwzyIM,Banking 17: What happened to the gold?,Khan Academy,2008-11-10,128261,311,87,269
465,HvDqbzu0i0E,Statistics: Standard deviation | Descriptive statistics | Probability and Statistics | Khan Academy,Khan Academy,2009-01-25,2021626,5980,346,452
464,sRVGcYGjUk8,Statistics: Alternate variance formulas | Probability and Statistics | Khan Academy,Khan Academy,2009-01-26,513037,1431,68,110
463,yQtUyBrRBx4,Equity vs. debt | Stocks and bonds | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2009-02-01,475654,2816,102,110
462,-oW4M3vpuRM,Chapter 7: Bankruptcy liquidation | Stocks and bonds | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2009-02-04,209991,736,17,45
461,O12yTz_8EOw,Binomial Distribution 1,Khan Academy,2009-02-23,1094914,2023,149,158
460,-LTXzYXaAuk,Cupcake economics 2 | Inflation | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2009-03-20,119473,229,9,27
459,Fdu5-aNJTzU,Epsilon-delta limit definition 2 | Limits | Differential Calculus | Khan Academy,Khan Academy,2009-04-10,512733,3012,57,288
458,69rDtSpshAw,Liar truth-teller brain teaser | Puzzles | Math for fun and glory | Khan Academy,Khan Academy,2009-04-16,1092826,1577,99,451
457,pzSyOTkAsY4,Conic sections: Intro to hyperbolas | Conic sections | Algebra II | Khan Academy,Khan Academy,2009-06-16,561328,1529,119,119
456,cvA4VN1dpuY,Identifying a hyperbola from an equation | Conic sections | Algebra II | Khan Academy,Khan Academy,2009-06-17,115202,242,4,17
455,A52fEdPn9lg,Partial fraction expansion 3 | Partial fraction expansion | Precalculus | Khan Academy,Khan Academy,2009-07-10,369384,1012,20,101
453,V-rko8jgJ9o,P/E discussion | Stocks and bonds | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2009-08-19,199758,587,5,40
454,Z7C4cz2HkeY,Introduction to the income statement | Stocks and bonds | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2009-08-19,801270,3511,113,159
452,uA3m8vbd2wc,Early train word problem | Linear equations | Algebra I | Khan Academy,Khan Academy,2009-08-21,91226,215,9,19
451,Nx4Xk5S4HQA,Two Passing Bicycles Word Problem,Khan Academy,2009-08-22,71154,124,7,12
450,1xSQlwWGT8M,Introduction to the atom | Chemistry of life | Biology | Khan Academy,Khan Academy,2009-08-25,2614784,8516,425,971
449,xatVrAh2U0E,Formula from Mass Composition,Khan Academy,2009-08-27,466622,1079,34,77
448,Qp87Z4m8R-w,Phase diagrams | States of matter and intermolecular forces | Chemistry | Khan Academy,Khan Academy,2009-09-01,606812,1596,51,115
446,__zy-oOLPug,Introduction to kinetics | Energy and enzymes | Biology | Khan Academy,Khan Academy,2009-09-03,739708,1162,45,90
447,z9LxdqYntlU,Boiling point elevation and freezing point depression | Chemistry | Khan Academy,Khan Academy,2009-09-03,491968,1436,118,140
445,0LM6wPpypxM,Conjugate acids and bases,Khan Academy,2009-09-08,652590,1740,122,224
444,299o6c-Fkz4,Strong Acid Titration,Khan Academy,2009-09-09,247184,372,9,48
443,3koOwozY4oc,Types of decay | Nuclear chemistry | Chemistry | Khan Academy,Khan Academy,2009-09-11,683701,2883,122,292
441,aOSlXuDO4UU,More on internal energy | Thermodynamics | Physics | Khan Academy,Khan Academy,2009-09-16,487517,1395,54,91
442,5EU-y1VF7g4,Macrostates and microstates | Thermodynamics | Physics | Khan Academy,Khan Academy,2009-09-16,312066,851,44,49
440,xO_1bYgoQvA,Multiplication 2: The multiplication tables | Arithmetic | Khan Academy,Khan Academy,2009-09-18,1455895,2100,520,2
439,DuArVnT1i-E,Variation in a Species,Khan Academy,2009-09-23,483916,1309,73,166
438,LLKX_4DHE3I,Phases of Mitosis,Khan Academy,2009-09-24,1384793,6645,234,762
437,ijLc52LmFQg,Phases of Meiosis,Khan Academy,2009-09-24,1605332,8017,345,890
436,PK_JXzYcme0,Heat of formation | Thermodynamics | Chemistry | Khan Academy,Khan Academy,2009-09-25,469931,719,43,54
435,7aur5h44pV4,More rigorous Gibbs free energy / spontaneity relationship | Chemistry | Khan Academy,Khan Academy,2009-09-28,112613,199,14,10
434,-yCIMk1x0Pk,Embryonic stem cells | Cells | MCAT | Khan Academy,Khan Academy,2009-09-30,477311,1602,71,191
433,JGU74wbZMLg,Inverse trig functions: arcsin | Trigonometry | Khan Academy,Khan Academy,2009-10-01,1608390,3227,211,232
432,Idxeo49szW0,Inverse trig functions: arctan | Trigonometry | Khan Academy,Khan Academy,2009-10-01,614884,1142,74,93
431,pZIaUx3UQoA,Laplace transform of t^n: L{t^n} | Laplace transform | Differential Equations | Khan Academy,Khan Academy,2009-10-06,230584,748,27,54
430,4qfdCwys2ew,Dirac delta function | Laplace transform | Differential Equations | Khan Academy,Khan Academy,2009-10-07,496664,2716,67,161
429,pJzmiywagfY,Cross product introduction | Vectors and spaces | Linear Algebra | Khan Academy,Khan Academy,2009-10-13,559370,1181,35,111
428,n4EK92CSuBE,Integrals: Trig Substitution 1,Khan Academy,2009-10-14,700035,1450,70,196
427,qvyboGryeA8,Null space 2: Calculating the null space of a matrix |  Linear Algebra | Khan Academy,Khan Academy,2009-10-16,528762,1355,43,127
426,JK-8XNIoAkI,Expressing a projection on to a line as a matrix vector prod | Linear Algebra | Khan Academy,Khan Academy,2009-10-26,133055,369,8,23
424,HEH_oKNLgUU,The derivative of f(x)=x^2 for any x | Taking derivatives | Differential Calculus | Khan Academy,Khan Academy,2009-11-02,713347,1512,31,150
425,IePCHjMeFkE,Calculating slope of tangent line using derivative definition | Differential Calculus | Khan Academy,Khan Academy,2009-11-02,949922,1798,46,151
423,trdbaV4TaAo,Introduction to scientific notation | Pre-Algebra | Khan Academy,Khan Academy,2009-11-02,753861,1363,115,182
422,0Dd-y_apbRw,Scientific notation examples | Pre-Algebra | Khan Academy,Khan Academy,2009-11-03,449036,560,32,59
421,ItA_hhRtUuw,More advanced ratio problem--with Algebra (HD version),Khan Academy,2009-11-05,151404,363,80,71
420,uvgru6FcyxU,Coordinates with respect to a basis | Linear Algebra | Khan Academy,Khan Academy,2009-11-11,266583,861,32,60
419,7BFx8pt2aTQ,Introduction to orthonormal bases | Linear Algebra | Khan Academy,Khan Academy,2009-11-12,359759,1362,69,72
418,rHonltF77zI,The Gram-Schmidt process | Alternate coordinate systems (bases) | Linear Algebra | Khan Academy,Khan Academy,2009-11-13,453324,1785,102,99
417,rfm0wQObxjk,Proof of formula for determining eigenvalues | Linear Algebra | Khan Academy,Khan Academy,2009-11-14,276325,361,9,18
416,YQfWiDlFEcA,ATP: Adenosine Triphosphate,Khan Academy,2009-12-08,771237,2310,64,212
415,_KyyVhlUDNU,Oxidation and reduction in cellular respiration | Biology | Khan Academy,Khan Academy,2009-12-10,518086,1208,35,68
414,mfgCcFXUZRk,Electron Transport Chain,Khan Academy,2009-12-11,2367556,11776,318,1034
413,gS6TfWUv97I,Lattice multiplication | Multiplication and division | Arithmetic | Khan Academy,Khan Academy,2009-12-16,604066,983,104,0
411,2fzYE-Emar0,k12.org exercise: Standard normal distribution and the empirical | Khan Academy,Khan Academy,2010-01-08,334411,445,9,23
412,OhRr26AfFBU,ck12.org normal distribution problems: Empirical rule | Probability and Statistics | Khan Academy,Khan Academy,2010-01-08,648078,2150,53,121
410,8Ft5iHhauJ0,Introduction to long division | Multiplication and division | Arithmetic | Khan Academy,Khan Academy,2010-01-20,1834343,3562,528,560
409,GR2GA7chA_c,Photosynthesis: Light Reactions 1,Khan Academy,2010-02-02,1317193,4962,140,526
408,7ynX_F-SwNY,C-4 Photosynthesis,Khan Academy,2010-02-05,410457,1642,37,163
407,FXSuEIMrPQk,Inflammatory response | Human anatomy and physiology | Health &amp; Medicine | Khan Academy,Khan Academy,2010-02-24,1612493,8693,244,390
406,wyTjyQMVvc4,Line integral example 2 (part 1) | Multivariable Calculus | Khan Academy,Khan Academy,2010-02-25,258333,786,18,95
405,FYMn61HLw1k,Differential of a vector valued function | Multivariable Calculus | Khan Academy,Khan Academy,2010-02-26,164881,583,14,13
404,vcwvzUVLPw0,Vector valued function derivative example | Multivariable Calculus | Khan Academy,Khan Academy,2010-02-26,155718,649,11,15
403,eGRZKkmI_fo,Parametrization of a reverse path | Khan Academy,Khan Academy,2010-03-05,131012,352,8,8
402,I2dbzp0zHuw,Closed curve line integrals of conservative vector fields | Multivariable Calculus | Khan Academy,Khan Academy,2010-03-06,164464,553,12,30
401,l5zJvZKfMYE,Green&#39;s theorem proof part 1 | Multivariable Calculus | Khan Academy,Khan Academy,2010-03-07,371319,1290,44,55
400,rgvysb9emcQ,Graphs of linear equations | Linear equations and functions | 8th grade | Khan Academy,Khan Academy,2010-04-03,1175274,4433,225,568
399,Iqws-qzyZwc,Slope and rate of change | Graphing lines and slope | Algebra Basics | Khan Academy,Khan Academy,2010-04-04,648986,1683,114,170
397,A3xPhzs-KBI,Compound inequalities | Linear inequalities | Algebra I | Khan Academy,Khan Academy,2010-04-07,839647,2951,102,274
398,PNXozoJWsWc,Multiplying and dividing with inequalities | Linear inequalities | Algebra I | Khan Academy,Khan Academy,2010-04-07,766482,802,130,111
396,5a6zpfl50go,Solving linear systems by graphing | Systems of equations | 8th grade | Khan Academy,Khan Academy,2010-04-08,976555,1719,186,203
395,VWlFMfPVmkU,Adding and simplifying radicals | Pre-Algebra | Khan Academy,Khan Academy,2010-04-16,739306,1410,62,101
394,nyZuite17Pc,Distance formula | Analytic geometry | Geometry | Khan Academy,Khan Academy,2010-04-18,1074039,2909,143,176
393,FXgV9ySNusc,Polynomial division | Polynomial and rational functions | Algebra II | Khan Academy,Khan Academy,2010-04-20,1534737,5762,235,462
392,CH6FQhlZn6k,Napoleon forced to abdicate | World history | Khan Academy,Khan Academy,2010-04-26,95100,274,6,50
391,owKAHXf1y1A,Introduction to parametrizing a surface with two parameters | Multivariable Calculus | Khan Academy,Khan Academy,2010-05-05,286117,917,36,62
390,frBJEYvyd-8,Absolute value and number lines | Negative numbers and absolute value | Pre-Algebra | Khan Academy,Khan Academy,2010-05-06,725783,581,71,48
389,kGrk6V8tWDY,Doppler effect formula for observed frequency | Physics | Khan Academy,Khan Academy,2010-06-05,274562,753,34,46
388,PdSzruR5OeE,Introduction to l&#39;Hôpital&#39;s rule | Derivative applications | Differential Calculus | Khan Academy,Khan Academy,2010-06-07,1293695,4663,199,279
386,NvGTCzAfvr0,Absolute value smallest to biggest | Pre-Algebra | Khan Academy,Khan Academy,2010-06-11,486512,504,35,41
385,5cK86VKoBPw,Recognize functions from tables | Functions and their graphs | Algebra II | Khan Academy,Khan Academy,2010-06-11,333701,216,12,23
387,d8De3xcVmnw,Challenge example: Sum of integers | Linear equations | Algebra I | Khan Academy,Khan Academy,2010-06-11,319144,392,28,48
382,405boztgZig,x- and y-intercepts 2 | Linear equations and functions | 8th grade | Khan Academy,Khan Academy,2010-06-12,321071,419,24,39
384,rSadG6EtJmY,Direct variation 1 | Rational expressions | Algebra II | Khan Academy,Khan Academy,2010-06-12,359783,542,38,104
383,qPx7i1jwXX4,Modeling with linear equations example 1 | Linear equations and functions | 8th grade | Khan Academy,Khan Academy,2010-06-12,217155,344,19,28
380,y7QLay8wrW8,Solving a two-step inequality | Linear inequalities | Algebra I | Khan Academy,Khan Academy,2010-06-13,1173428,761,86,104
379,pbLiN8D9gAk,"Constructing, solving two-step inequality example | Linear inequalities | Algebra I | Khan Academy",Khan Academy,2010-06-13,232642,139,14,16
381,jTCZfMMcHBo,Interpreting linear tables word problems example 1 | Algebra I | Khan Academy,Khan Academy,2010-06-13,382167,194,27,5
378,BNHLzEv6Mjg,Analyzing solutions to linear systems graphically 1 | Algebra I | Khan Academy,Khan Academy,2010-06-14,143393,57,2,2
377,JVlfQEhzLMM,Mixture problems 3 | Linear equations | Algebra I | Khan Academy,Khan Academy,2010-06-15,148295,97,4,9
376,zwUnRQbWPJU,Simplifying expressions with exponents 3 | Algebra I | Khan Academy,Khan Academy,2010-06-20,77732,79,2,7
375,y4C81qAa3pY,Solving radical equations 1 | Exponent expressions and equations | Algebra I | Khan Academy,Khan Academy,2010-06-21,195771,194,13,16
374,Rtje3kbC9lM,Multiplying and dividing monomials 2 | Rational expressions | Algebra II | Khan Academy,Khan Academy,2010-06-21,81074,66,1,2
371,YahJQvY396o,Example 6: Factoring a difference of squares with two variables | Algebra II | Khan Academy,Khan Academy,2010-06-23,325214,86,8,2
373,auQU-9KNG74,Factoring and the Distributive Property,Khan Academy,2010-06-23,136062,77,8,8
372,QQhkEGp-YQQ,Factoring Trinomials by Grouping 2,Khan Academy,2010-06-23,124669,137,4,12
370,hjigR_rHKDI,Non-linear systems of equations 1 | Algebra II | Khan Academy,Khan Academy,2010-06-24,256926,495,35,25
369,I6hz8mhaRB0,Understanding Logical Statements 1,Khan Academy,2010-06-26,87662,211,9,15
365,3_otNr9kRuY,Example: Probability through counting outcomes | Precalculus | Khan Academy,Khan Academy,2010-06-27,386783,198,18,8
367,GEId0GonOZM,Difference between inductive and deductive reasoning | Precalculus | Khan Academy,Khan Academy,2010-06-27,567852,1089,81,42
368,cdRLBOnLTDk,Finding probability example 3 | Probability and combinatorics | Precalculus | Khan Academy,Khan Academy,2010-06-27,227677,106,8,3
366,VMEV__2wW3E,"Deductive reasoning 2 | Sequences, series and induction | Precalculus | Khan Academy",Khan Academy,2010-06-27,146326,52,2,11
363,NRFPvLp3r3g,Naming simple alkanes | Organic chemistry | Khan Academy,Khan Academy,2010-07-21,1265306,5062,135,242
364,pMoA65Dj-zk,Representing structures of organic molecules | Biology | Khan Academy,Khan Academy,2010-07-21,1597901,3821,105,201
361,6BR0Q5e74bs,Organic chemistry naming examples 4 | Organic chemistry | Khan Academy,Khan Academy,2010-07-22,226704,411,10,54
362,CFBKfgGTP98,Correction - 2-propylheptane should never be the name! | Organic chemistry | Khan Academy,Khan Academy,2010-07-22,449088,954,11,73
360,ryJvNEHcuDg,Newman projections 2 | Organic chemistry | Khan Academy,Khan Academy,2010-07-26,352633,658,12,57
359,BUmLw5m6F9s,Systems of linear inequalities word problems example | Algebra II | Khan Academy,Khan Academy,2010-07-29,210407,639,29,49
358,iK0y39rjBgQ,Writing a number in expanded form | Arithmetic properties | Pre-Algebra | Khan Academy,Khan Academy,2010-07-30,1061486,1970,492,244
357,oTKVXJ7TcbA,Associative law of addition | Arithmetic properties | Pre-Algebra | Khan Academy,Khan Academy,2010-08-03,450318,704,71,40
356,WPimvspI0_c,Fractions in lowest terms | Fractions | Pre-Algebra | Khan Academy,Khan Academy,2010-08-06,1217312,2189,429,376
355,-a_w0_VAo6U,Identifying fraction parts | Fractions | Pre-Algebra | Khan Academy,Khan Academy,2010-08-06,603577,512,58,33
354,RPhaidW0dmY,How to multiply mixed numbers | Fractions | Pre-Algebra | Khan Academy,Khan Academy,2010-08-07,1374741,1511,245,259
353,gRKZaojKeP0,Angles formed between transversals and parallel lines | Geometry | Khan Academy,Khan Academy,2010-08-09,228584,495,23,48
352,Lvr2YsxG10o,The meaning of percent | Decimals | Pre-Algebra | Khan Academy,Khan Academy,2010-08-30,701182,543,97,132
351,-gB1y-PMWfs,Converting percent to decimal and fraction | Decimals | Pre-Algebra | Khan Academy,Khan Academy,2010-08-31,1359307,2253,294,290
350,DAikW24_O0A,Percent word problem example 5 | Decimals | Pre-Algebra | Khan Academy,Khan Academy,2010-09-01,618384,365,28,56
349,aASUZqJCHHA,Comparing Celsius and Fahrenheit temperature scales | Pre-Algebra | Khan Academy,Khan Academy,2010-09-06,133327,277,29,25
348,U9dGHwsewNk,E1 reactions | Substitution and elimination reactions | Organic chemistry | Khan Academy,Khan Academy,2010-09-16,620813,1493,72,123
347,12Rvts2NR7M,Comparing E2 E1 Sn2 Sn1 Reactions,Khan Academy,2010-09-18,994018,2863,120,195
346,vinEPfrqfiU,E2 E1 Sn2 Sn1 Reactions Example 2,Khan Academy,2010-09-18,297377,316,2,11
345,nQ7QSV4JRSs,"Alcohols | Alcohols, ethers, epoxides, sulfides | Organic chemistry | Khan Academy",Khan Academy,2010-09-20,524592,1674,45,117
344,fpq0eICjuSI,Electrophilic aromatic substitution | Aromatic Compounds | Organic chemistry | Khan Academy,Khan Academy,2010-10-11,464134,2169,113,123
343,wD15pD5pCt4,Ketone naming | Aldehydes and ketones | Organic chemistry | Khan Academy,Khan Academy,2010-10-19,229108,685,23,31
342,z8h7QgevqjM,Carboxylic acid naming | Carboxylic acids and derivatives | Organic chemistry | Khan Academy,Khan Academy,2010-10-20,207409,711,16,29
341,NYI0bJK64MY,"Relative stability of amides, esters, anhydrides, and acyl chlorides | Khan Academy",Khan Academy,2010-10-21,67763,151,1,12
340,itoNb1lb5hY,Currency Exchange Introduction,Khan Academy,2010-10-24,689818,2888,274,277
338,m5xu4r0szaA,American-Chinese Debt Loop,Khan Academy,2010-10-25,163878,1004,51,135
339,5HVCFrXQ9pw,Currency Effect on Trade,Khan Academy,2010-10-25,214135,876,24,57
337,0ZstEh_8bYc,Sampling distribution example problem | Probability and Statistics | Khan Academy,Khan Academy,2010-10-27,734931,2135,114,122
336,K4KDLWENXm0,Small sample size confidence intervals | Probability and Statistics | Khan Academy,Khan Academy,2010-11-02,358838,530,36,47
335,TcIDXqmt74A,Difference of sample means distribution | Probability and Statistics | Khan Academy,Khan Academy,2010-11-04,211851,311,19,14
334,lng4ZgConCM,R-squared or coefficient of determination | Regression | Probability and Statistics | Khan Academy,Khan Academy,2010-11-05,747380,2486,127,115
333,2QeDRsxSF9M,Pearson&#39;s chi square test (goodness of fit) | Probability and Statistics | Khan Academy,Khan Academy,2010-11-10,1410379,6288,210,339
332,EFdlFoHI_0I,ANOVA 1: Calculating SST (total sum of squares) | Probability and Statistics | Khan Academy,Khan Academy,2010-11-12,833890,1931,81,70
331,JiE_kNk3ucI,Intergalactic scale | Scale of the universe | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2010-11-18,350613,1549,16,321
330,lVadjWOjvV8,Stellar distance using parallax | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2010-11-24,105707,286,14,47
329,1V9wVmO0Tfg,Hubble&#39;s law | Scale of the universe | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2010-11-24,171489,971,35,117
328,BWs-ONRDDG4,"Cepheid variables 1 | Stars, black holes and galaxies | Cosmology &amp; Astronomy | Khan Academy",Khan Academy,2010-11-30,102738,626,18,36
327,8X1AS9qD5AQ,Parabolic mirrors and real images | Geometric optics | Physics | Khan Academy,Khan Academy,2010-12-09,277107,636,10,34
326,dWY25vb1ZB0,Convex parabolic mirrors | Geometric optics | Physics | Khan Academy,Khan Academy,2010-12-09,188086,285,8,20
325,E1P79uFLCMc,Ozone layer and eukaryotes show up in the Proterozoic eon | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2011-01-20,94559,204,2,16
324,tC1SfxRvtmM,How to evaluate an expression using substitution | Algebra I | Khan Academy,Khan Academy,2011-01-25,637944,295,13,10
323,f8GK2oEN-uI,Plates moving due to convection in mantle | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2011-02-03,196443,629,72,48
322,yAQSucmHrAk,The mohorovicic seismic discontinuity | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2011-02-04,82778,467,14,41
321,KL0i1RSnpfI,How we know about the earth&#39;s core | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2011-02-04,149216,597,36,117
320,Ix8Nne-a-KQ,Consistent and inconsistent systems | Algebra II | Khan Academy,Khan Academy,2011-03-08,307157,856,73,53
317,MHWmBggmIU0,Put-call parity arbitrage II | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2011-03-16,133476,371,16,49
318,i65NIcnHS9Y,Put as insurance | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2011-03-16,127108,194,6,8
319,2HIRaOQDRho,Long straddle | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2011-03-16,147907,310,4,18
316,0E3PuHiDU9U,Expensing a truck leads to inconsistent performance | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2011-03-31,121108,94,0,6
315,JSFiOF7xGfE,Blood Sugar Levels,Khan Academy,2011-04-04,261133,704,55,75
314,3_DxJwDTbyQ,Recognizing direct and inverse variation | Rational expressions | Algebra II | Khan Academy,Khan Academy,2011-04-14,248647,288,20,13
313,NSSoMafbBqQ,Term life insurance and death probability | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2011-04-18,244206,370,8,30
312,j2eKaxU-8kA,US History Overview 3 - WWII to Vietnam,Khan Academy,2011-04-25,281160,818,30,100
311,XmkbAduMD_E,Bay of Pigs Invasion | The 20th century | World history | Khan Academy,Khan Academy,2011-04-28,361106,1446,69,200
310,SnkUkc23YC0,Time Differences 1,Khan Academy,2011-05-10,72969,370,45,53
309,wDuCOxDxMzY,Fed Open Market Operations,Khan Academy,2011-05-11,125855,612,29,44
308,LlKvubIqHc8,Maclaurin series of sin(x) | Series | AP Calculus BC | Khan Academy,Khan Academy,2011-05-17,276799,561,18,31
307,1LxhXqD3_CE,Taylor &amp; Maclaurin polynomials intro (part 2) | Series | AP Calculus BC | Khan Academy,Khan Academy,2011-05-18,504162,638,24,31
306,riXcZT2ICjA,Introduction to limits | Limits | Differential Calculus | Khan Academy,Khan Academy,2011-05-19,4775228,21131,708,1017
305,xPUm5SUVzTE,Dependent probability example | Probability and Statistics | Khan Academy,Khan Academy,2011-05-23,371049,719,14,42
304,mv5zucjq60k,Risk and reward introduction | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2011-06-07,123005,401,12,32
303,oRKxmXwLvUU,Calculating average velocity or speed | One-dimensional motion | Physics | Khan Academy,Khan Academy,2011-06-11,2542549,7018,407,738
302,xp6ibuI8UuQ,Visualizing vectors in 2 dimensions | Two-dimensional motion | Physics | Khan Academy,Khan Academy,2011-06-16,741197,1656,57,88
301,Mz2nDXElcoM,Ice accelerating down an incline | Forces and Newton&#39;s laws of motion | Physics | Khan Academy,Khan Academy,2011-06-20,413902,725,25,58
300,J9BWNiOSGlc,Intuition on static and kinetic friction comparisons | Physics | Khan Academy,Khan Academy,2011-06-20,301416,675,29,43
299,GEeKOeGHddY,Simplifying cube root expressions | Algebra I | Khan Academy,Khan Academy,2011-06-24,455281,443,25,35
298,zEyEC34MY1A,Python Lists,Khan Academy,2011-06-30,358192,1365,29,111
297,iZAtkS0F-Zo,Fun with Strings,Khan Academy,2011-06-30,170065,599,8,55
296,1jDDfkKKgmc,Tau versus pi | Graphs of trig functions | Trigonometry | Khan Academy,Khan Academy,2011-07-11,189753,1077,32,335
295,05qDIjKevJo,How earth&#39;s tilt causes seasons | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2011-07-13,305578,1045,79,125
292,Ea3DGInR2m0,Money Market Funds,Khan Academy,2011-07-26,71944,469,9,21
293,oTbvYGH_Hiw,Electoral college | American civics | US History | Khan Academy,Khan Academy,2011-07-26,434784,1651,70,240
294,oTbvYGH_Hiw,Electoral college | American civics | US History | Khan Academy,Khan Academy,2011-07-26,434784,1651,70,240
291,-05OfTp6ZEE,Deficit and debt ceiling | American civics | US government and civics | Khan Academy,Khan Academy,2011-07-27,220219,1040,19,154
290,wblW_M_HVQ8,"Proof by induction | Sequences, series and induction | Precalculus | Khan Academy",Khan Academy,2011-08-09,1060664,6832,175,411
289,AOsWph2FNLw,Generalizing with binomial coefficients (bit advanced) | Probability and Statistics | Khan Academy,Khan Academy,2011-08-10,284508,731,27,47
288,ROpbdO-gRUo,Correlation and causality | Statistical studies | Probability and Statistics | Khan Academy,Khan Academy,2011-08-18,773808,1836,66,148
287,dw41PMWek6U,Measuring angles using a protractor | Angles and intersecting lines | Geometry | Khan Academy,Khan Academy,2011-09-21,789509,627,70,85
286,RFesGHsuFZw,Congruent triangle proof example | Congruence | Geometry | Khan Academy,Khan Academy,2011-09-27,297672,712,48,54
285,S9xdJgPWO-w,Blue Cross and Blue Shield | Health care system | Heatlh &amp; Medicine | Khan Academy,Khan Academy,2011-10-04,122815,331,27,39
284,5zosU6XTgSY,The golden ratio | Introduction to Euclidean geometry | Geometry | Khan Academy,Khan Academy,2011-10-05,749628,3991,144,434
283,Tmt4zrDK3dA,Species,Khan Academy,2011-11-01,192529,604,31,78
282,oHvLlS_Sc54,Taxonomy and the Tree of Life,Khan Academy,2011-11-02,365548,1126,72,162
